question_text,option_1,option_2,option_3,option_4,correct_answer,image_url
"ERRATIC","enthusiastic","fortunate","relieved","unpredictable",4,
"VIGOROUS","stacked","strong","lame","ridiculous",2,
"PUZZLED","confused","disgraced","inspired","neglected",1,
"IRATE","authentic","intricate","livid","persistent",3,
"FLATTER","assure","compliment","annoy","resemble",2,
"INQUIRE","acknowledge","imply","confine","ask",4,
"ALTER","change","conceal","reject","uproot",1,
"FEISTY","genuine","spirited","unique","weary",2,
"REMINISCE","astonish","deceive","reflect","utilize",3,
"STREWN","lost","hidden","attached","scattered",4,
"PERSPIRE","sweat","breathe","encourage","inhale",1,
"GENERATE","power","produce","spin","burn",2,
"HARMONIOUSLY","aggressively","slowly","cooperatively","strikingly",3,
"CONFESS","admit","suppose","commit","fail",1,
"APEX","predator","valley","equator","peak",4,
"HOOKED","complicated","captivated","surrounded","abusive",2,
"SLOPPINESS","carelessness","cleverness","daring","haplessness",1,
"STOICALLY","demonstrably","powerfully","indignantly","unemotionally",4,
"SCUTTLE","scurry","prowl","activate","hassle",1,
"Local officials produced ____ reports by inflating the figures so that fisheries appeared more productive.","removed","distinctive","dismissive","fraudulent",4,
"In a victory for police and law enforcement the Supreme Court ____ a lower court's ruling, which allowed the officers to take DNA samples from arrested suspects.","propsed","dismissed","upheld","criticized",3,
"Wolfgang Amadeus Mozart published over 600 pieces of music, making him one of the most ____ composers of the Classical era.","notorious","copious","comprehensive","prolific",4,
"Dean loved his old car, but he had to admit that it was too small to be a ____ family vehicle.","peculiar","sensational","wasteful","practical",4,
"Karen is often described by her coworkers as a ____ worker who pays careful attention to every detail.","playful","bickering","diligent","bellicose",3,
"Determined to find the exact cause of the accident, forensic engineers conducted a ____ investigation of the wreckage.","incautious","overwrought","underfunded","exhaustive",4,
"Processed foods ____ to contain more artificial preservatives than alternatives, so some dietitians recommend avoiding them.","prefer","attempt","cease","tend",4,
"After projecting steep budget ____, the company was forced to close under performing stores in an effort to reduce spending and avoid losses.","negotiations","divisions","defecits","increases",3,
"A vehicle owner's manual can be a useful ____ on maintenance and simple fixes, but won't teach you how to make major repairs.","dialogue","category","primer","incident",4,
"Viewers were unsuprised when the notoriously ____ host begain to attack his guest's political views","popular","understanding","confrontational","discerning",3,
"The Student Activities Board considered taking a senior trip to France, but determiend that it was to ____ for their limited budget","prudent","frugal","curmudgeonly","extravagant",1,
